CODE,CITY,STATE,TIMEZONE_REGION
CEM,Central,AK,America/Anchorage
CEZ,Cortez,CO,America/Denver
CFA,Coffee Point,AK,America/Anchorage
CGA,Craig,AK,America/Anchorage
CGI,Cape Girardeau,MO,America/Chicago
CHA,Chattanooga,TN,America/New_York
CHO,Charlottesville,VA,America/New_York
CHS,Charleston,SC,America/New_York
CHU,Chuathbaluk,AK,America/Anchorage
CIC,Chico,CA,America/Los_Angeles
CID,Cedar Rapids,IA,America/Chicago
CIK,Chalkyitsik,AK,America/Anchorage
CIN,Carroll,IA,America/Chicago
CIU,Sault Ste. Marie,MI,America/New_York
CKB,Clarksburg,WV,America/New_York
CKD,Crooked Creek,AK,America/Anchorage
CKX,Chicken,AK,America/Anchorage
CLD,San Diego,CA,America/Los_Angeles
CLE,Cleveland,OH,America/New_York
CLL,College Station,TX,America/Chicago
CLM,Port Angeles,WA,America/Los_Angeles
CLP,Clarks Point,AK,America/Anchorage
CLT,Charlotte,NC,America/New_York
CLU,Columbus,IN,America/New_York
CMH,Columbus,OH,America/New_York
CMI,Champaign,IL,America/Chicago
CMX,Hancock,MI,America/New_York
CNM,Carlsbad,NM,America/Denver
CNY,Moab,UT,America/Denver
CO3,Marina,CA,America/Los_Angeles
COD,Cody,WY,America/Denver
COS,Colorado Springs,CO,America/Denver
COU,Columbia,MO,America/Chicago
CPR,Casper,WY,America/Denver
CRP,Corpus Christi,TX,America/Chicago
CRW,Charleston,WV,America/New_York
CSG,Columbus,GA,America/New_York
CSM,Clinton,OK,America/Chicago
CTH,Coatesville,PA,America/New_York
CVG,Hebron,KY,America/New_York
CVN,Clovis,NM,America/Denver
CVO,Albany,OR,America/Los_Angeles
CWA,Wausau,WI,America/Chicago
CXF,Coldfoot,AK,America/Anchorage
CYF,Chefornak,AK,America/Anchorage
CYM,Chatham,AK,America/Anchorage
CYS,Cheyenne,WY,America/Denver
CZF,Cape Romanzof,AK,America/Anchorage
CZN,Chisana,AK,America/Anchorage
DAB,Daytona Beach,FL,America/New_York
DAL,Dallas,TX,America/Chicago
DAY,Dayton,OH,America/New_York
DBQ,Dubuque,IA,America/Chicago
DCA,Washington,DC,America/New_York
DCU,Decatur,AL,America/Chicago
DDC,Dodge City,KS,America/Chicago
DEC,Decatur,IL,America/Chicago
DEN,Denver,CO,America/Denver
DET,Detroit,MI,America/New_York
DFW,Dallas,TX,America/Chicago
DGB,Danger Bay,AK,America/Anchorage
DHN,Dothan,AL,America/Chicago
DIK,Dickinson,ND,America/Denver
DJN,Delta Junction,AK,America/Anchorage
DLG,Dillingham,AK,America/Anchorage
DLH,Duluth,MN,America/Chicago
DNE,Dallas,TX,America/Chicago
DOV,Dover-Cheswold,DE,America/New_York
DPA,Chicago,IL,America/Chicago
DQH,Douglas,GA,America/New_York
DQK,Fort Drum,NY,America/New_York
DQN,New Smyrna Beach,FL,America/New_York
DQP,Georgetown,KY,America/New_York
DQR,Peach Springs,AZ,US/Arizona
DRF,Drift River,AK,America/Anchorage
DRG,Deering,AK,America/Anchorage
DRO,Durango,CO,America/Denver
DRT,Del Rio,TX,America/Chicago
DSM,Des Moines,IA,America/Chicago
DTW,Detroit,MI,America/New_York
DUJ,Dubois,PA,America/New_York
DUT,Dutch Harbor,AK,America/Anchorage
DVL,Devils Lake,ND,America/Chicago
DXR,Danbury,CT,America/New_York
DYS,Abilene,TX,America/Chicago
EAA,Eagle,AK,America/Anchorage
EAR,Kearney,NE,America/Chicago
EAT,Wenatchee,WA,America/Los_Angeles
EAU,Eau Claire,WI,America/Chicago
EDA,Edna Bay,AK,America/Anchorage
EDF,Anchorage,AK,America/Anchorage
EEK,Eek,AK,America/Anchorage
EFD,Houston,TX,America/Chicago
EFK,Newport,VT,America/New_York
EGE,Vail,CO,America/Denver
EGX,Egegik,AK,America/Anchorage
EHM,Cape Newenham,AK,America/Anchorage
EIL,Fairbanks,AK,America/Anchorage
EKA,Eureka,CA,America/Los_Angeles
EKO,Elko,NV,America/Los_Angeles
ELD,El Dorado,AR,America/Chicago
ELI,Elim,AK,America/Anchorage
ELM,Elmira,NY,America/New_York
ELP,El Paso,TX,America/Denver
ELV,Elfin Cove,AK,America/Anchorage
ELY,Ely,NV,America/Los_Angeles
EMK,Emmonak,AK,America/Anchorage
ENA,Kenai,AK,America/Anchorage
ENN,Nenana,AK,America/Anchorage
ENV,Wendover,UT,America/Denver
EPH,Ephrata,WA,America/Los_Angeles
ERI,Erie,PA,America/New_York
ESC,Escanaba,MI,America/New_York
ESD,Eastsound,WA,America/Los_Angeles
EUG,Eugene,OR,America/Los_Angeles
EVV,Evansville,IN,America/Chicago
EWB,New Bedford,MA,America/New_York
EWN,New Bern,NC,America/New_York
EWR,Newark,NJ,America/New_York
EXI,Excursion Inlet,AK,America/Anchorage
EYW,Key West,FL,America/New_York
FAI,Fairbanks,AK,America/Anchorage
FAR,Fargo,ND,America/Chicago
FAT,Fresno,CA,America/Los_Angeles
FAY,Fayetteville,NC,America/New_York
FCA,Kalispell,MT,America/Denver
FDY,Findlay,OH,America/New_York
FFO,Dayton,OH,America/New_York
FHU,Sierra Vista,AZ,US/Arizona
FKL,Franklin,PA,America/New_York
FLG,Grand Canyon,AZ,US/Arizona
FLL,Fort Lauderdale,FL,America/New_York
FLO,Florence,SC,America/New_York
FMN,Farmington,NM,America/Denver
FNL,Fort Collins/Loveland,CO,America/Denver
FNR,Funter Bay,AK,America/Anchorage
FNT,Flint,MI,America/New_York
FOD,Fort Dodge,IA,America/Chicago
FOE,Topeka,KS,America/Chicago
FQW,Fort Glenn,AK,America/Anchorage
FRD,Friday Harbor,WA,America/Los_Angeles
FRG,Farmingdale,NY,America/New_York
FSD,Sioux Falls,SD,America/Chicago
FSM,Fort Smith,AR,America/Chicago
FTW,Fort Worth,TX,America/Chicago
FTY,Atlanta,GA,America/New_York
FVQ,Donlin Creek,AK,America/Anchorage
FWA,Fort Wayne,IN,America/New_York
FYU,Fort Yukon,AK,America/Anchorage
