Airport Acronym,City,State,Time Zone,Hrs. from GMT,Java Zone ID,DST,,
CLU,Columbus,IN,EST,-5,America/New_York,YES,,
CMH,Columbus,OH,EST,-5,America/New_York,YES,,
CMI,Champaign,IL,CST,-6,America/Chicago,YES,,
CMX,Hancock,MI,EST,-5,America/New_York,YES,,
CNM,Carlsbad,NM,MST,-7,America/Denver,YES,,
CNY,Moab,UT,MST,-7,America/Denver,YES,,
CO3,Marina,CA,PST,-8,America/Los_Angeles,YES,,
COD,Cody,WY,MST,-7,America/Denver,YES,,
COS,Colorado Springs,CO,MST,-7,America/Denver,YES,,
COU,Columbia,MO,CST,-6,America/Chicago,YES,,
CPR,Casper,WY,MST,-7,America/Denver,YES,,
CRP,Corpus Christi,TX,CST,-6,America/Chicago,YES,,
CRW,Charleston,WV,EST,-5,America/New_York,YES,,
CSG,Columbus,GA,EST,-5,America/New_York,YES,,
CSM,Clinton,OK,CST,-6,America/Chicago,YES,,
CTH,Coatesville,PA,EST,-5,America/New_York,YES,,
CVG,Hebron,KY,EST,-5,America/New_York,YES,,
CVN,Clovis,NM,MST,-7,America/Denver,YES,,
CVO,Albany,OR,PST,-8,America/Los_Angeles,YES,,
CWA,Wausau,WI,CST,-6,America/Chicago,YES,,
CXF,Coldfoot,AK,,-9,America/Anchorage,YES,,
CYF,Chefornak,AK,,-9,America/Anchorage,YES,,
CYM,Chatham,AK,,-9,America/Anchorage,YES,,
CYS,Cheyenne,WY,MST,-7,America/Denver,YES,,
CZF,Cape Romanzof,AK,,-9,America/Anchorage,YES,,
CZN,Chisana,AK,,-9,America/Anchorage,YES,,
DAB,Daytona Beach,FL,EST,-5,America/New_York,YES,,
DAL,Dallas,TX,CST,-6,America/Chicago,YES,,
DAY,Dayton,OH,EST,-5,America/New_York,YES,,
DBQ,Dubuque,IA,CST,-6,America/Chicago,YES,,
DCA,Washington,DC,EST,-5,America/New_York,YES,,
DCU,Decatur,AL,CST,-6,America/Chicago,YES,,
DDC,Dodge City,KS,CST,-6,America/Chicago,YES,,
DEC,Decatur,IL,CST,-6,America/Chicago,YES,,
DEN,Denver,CO,MST,-7,America/Denver,YES,,
DET,Detroit,MI,EST,-5,America/New_York,YES,,
DFW,Dallas,TX,CST,-6,America/Chicago,YES,,
DGB,Danger Bay,AK,,-9,America/Anchorage,YES,,
DHN,Dothan,AL,CST,-6,America/Chicago,YES,,
DIK,Dickinson,ND,MST,-7,America/Denver,YES,,
DJN,Delta Junction,AK,,-9,America/Anchorage,YES,,
DLG,Dillingham,AK,,-9,America/Anchorage,YES,,
DLH,Duluth,MN,CST,-6,America/Chicago,YES,,
DNE,Dallas,TX,CST,-6,America/Chicago,YES,,
